Object	Type	RA	Dec	Const	Common	Other
IC 417	EMISS	5.468	34.424	AUR	Spider Nebula	
IC 418	PLNNB	5.458	-12.697	LEP	Spirograph Nebula	
IC 434	EMISS	5.684	-2.454	ORI	Flame Nebula,Orion B	
IC 443	SNREM	6.277	22.532	GEM	Gem A,Jellyfish Nebula	
IC 1318	1STAR	20.37	40.257	CYG	Sadr Region,gam Cyg	
IC 1396	CL+NB	21.649	57.489	CEP	Elephants Trunk Nebula	
IC 1613	GALXY	1.08	2.118	CET	Caldwell 51	
IC 1795	EMISS	2.442	62.042	CAS	Fish Head Nebula	
IC 1848	CL+NB	2.853	60.402	CAS	Soul Nebula	
IC 2431	GALXY	9.076	14.596	CNC	Browning	
IC 3568	PLNNB	12.552	82.564	CAM	Lemon Slice Nebula	
IC 4697	GALXY	18.207	25.427	HER	Caldwell 52	
IC 5148	PLNNB	21.993	-39.386	GRU	Spare-tyre Nebula	IC 5150